time (s),T1 (K),P1 (Bar),V1 (m3)
1.817599999999865,1307.8919758111608,132387.38618133464,1.0
1.817999999999865,1307.7137866795226,132369.34775087718,1.0
1.818399999999865,1307.5356955430213,132351.31924239144,1.0
1.818799999999865,1307.3577023531138,132333.30065096004,1.0
1.819199999999865,1307.1798070612756,132315.29197166747,1.0
1.8195999999998649,1307.0020096190026,132297.2931996004,1.0
1.8199999999998648,1306.8243099778083,132279.3043298471,1.0
1.8203999999998648,1306.6467080892248,132261.32535749787,1.0
1.8207999999998647,1306.4692039048057,132243.35627764522,1.0
1.8211999999998647,1306.2917973761218,132225.39708538327,1.0
1.8215999999998647,1306.1144884547637,132207.44777580834,1.0
1.8219999999998646,1305.9372770923405,132189.5083440184,1.0
1.8223999999998646,1305.7601632404762,132171.57878511315,1.0
1.8227999999998645,1305.5831468507677,132153.6590941892,1.0
1.8231999999998645,1305.4062278749207,132135.74926635466,1.0
1.8235999999998644,1305.2294062646195,132117.8492967152,1.0
1.8239999999998644,1305.0526819715676,132099.95918037856,1.0
1.8243999999998644,1304.8760549474864,132082.07891245416,1.0
1.8247999999998643,1304.699525144119,132064.2084880538,1.0
1.8251999999998643,1304.5230925132234,132046.3479022906,1.0
1.8255999999998642,1304.3467570065807,132028.4971502802,1.0
1.8259999999998642,1304.1705185759886,132010.65622713984,1.0
1.8263999999998641,1303.994377173265,131992.82512798888,1.0
1.826799999999864,1303.818332750247,131975.0038479484,1.0
1.827199999999864,1303.6423852587893,131957.19238214157,1.0
1.827599999999864,1303.4665346507663,131939.3907256935,1.0
1.827999999999864,1303.29078087805,131921.59887372842,1.0
1.828399999999864,1303.1151238925686,131903.81682137717,1.0
1.8287999999998639,1302.9395636462539,131886.0445637707,1.0
1.8291999999998638,1302.7641000910567,131868.2820960417,1.0
1.8295999999998638,1302.588733178947,131850.529413325,1.0
1.8299999999998637,1302.4134628619129,131832.78651075714,1.0
1.8303999999998637,1302.2382890919614,131815.05338347665,1.0
1.8307999999998636,1302.0632118211204,131797.33002662414,1.0
1.8311999999998636,1301.8882310014358,131779.6164353421,1.0
1.8315999999998636,1301.7133465849715,131761.9126047747,1.0
1.8319999999998635,1301.5385585238134,131744.21853006855,1.0
1.8323999999998635,1301.363866770063,131726.53420637175,1.0
1.8327999999998634,1301.1892712758429,131708.85962883447,1.0
1.8331999999998634,1301.0147719932786,131691.1947926069,1.0
1.8335999999998633,1300.8403688745377,131673.53969284394,1.0
1.8339999999998633,1300.6660618718029,131655.89432470207,1.0
1.8343999999998633,1300.491850937272,131638.25868333917,1.0
1.8347999999998632,1300.3177360231637,131620.6327639152,1.0
1.8351999999998632,1300.1437170817119,131603.01656159168,1.0
1.8355999999998631,1299.9697940651745,131585.41007153256,1.0
1.835999999999863,1299.795966925826,131567.81328890356,1.0
1.836399999999863,1299.6222356159583,131550.226208872,1.0
1.836799999999863,1299.448600087886,131532.64882660762,1.0
1.837199999999863,1299.2750602939404,131515.08113728187,1.0
1.837599999999863,1299.1016161864732,131497.5231360682,1.0
1.8379999999998629,1298.9282677178549,131479.97481814201,1.0
1.8383999999998628,1298.7550148404118,131462.43617867425,1.0
1.8387999999998628,1298.5818575065673,131444.90721284566,1.0
1.8391999999998627,1298.4087956687692,131427.38791583947,1.0
1.8395999999998627,1298.2358292794631,131409.87828283873,1.0
1.8399999999998626,1298.06295829111,131392.37830902793,1.0
1.8403999999998626,1297.8901826561923,131374.88798959393,1.0
1.8407999999998625,1297.717502327212,131357.4073197254,1.0
1.8411999999998625,1297.5449172566878,131339.93629461285,1.0
1.8415999999998625,1297.3724273971611,131322.47490944894,1.0
1.8419999999998624,1297.200032701187,131305.02315942786,1.0
1.8423999999998624,1297.0277331213451,131287.5810397462,1.0
1.8427999999998623,1296.8555286102314,131270.14854560225,1.0
1.8431999999998623,1296.6834191204603,131252.72567219616,1.0
1.8435999999998622,1296.511404604575,131235.31241472138,1.0
1.8439999999998622,1296.339485015215,131217.90876838064,1.0
1.8443999999998621,1296.1676603051096,131200.5147283855,1.0
1.844799999999862,1295.9959304269444,131183.1302899433,1.0
1.845199999999862,1295.824295333423,131165.75544826337,1.0
1.845599999999862,1295.6527549772702,131148.39019855706,1.0
1.845999999999862,1295.481309311227,131131.03453603742,1.0
1.846399999999862,1295.309958288058,131113.68845591982,1.0
1.8467999999998619,1295.1387018605403,131096.35195342108,1.0
1.8471999999998618,1294.9675399814746,131079.02502376024,1.0
1.8475999999998618,1294.7964726036782,131061.70766215805,1.0
1.8479999999998618,1294.6254996799887,131044.39986383749,1.0
1.8483999999998617,1294.4546211632603,131027.10162402295,1.0
1.8487999999998617,1294.2838370063441,131009.8129379389,1.0
1.8491999999998616,1294.1131471621034,130992.533800811,1.0
1.8495999999998616,1293.9425515834675,130975.26420787133,1.0
1.8499999999998615,1293.772050223363,130958.00415435173,1.0
1.8503999999998615,1293.6016430347306,130940.75363548566,1.0
1.8507999999998614,1293.4313299705327,130923.51264650871,1.0
1.8511999999998614,1293.2611109837462,130906.28118265787,1.0
1.8515999999998614,1293.090986027397,130889.05923917503,1.0
1.8519999999998613,1292.9209550545952,130871.84681130986,1.0
1.8523999999998613,1292.7510180183492,130854.64389430292,1.0
1.8527999999998612,1292.5811748717394,130837.4504834016,1.0
1.8531999999998612,1292.4114255678649,130820.26657385501,1.0
1.8535999999998611,1292.2417700598344,130803.0921609135,1.0
1.853999999999861,1292.072208300744,130785.9272398261,1.0
1.854399999999861,1291.9027402437705,130768.77180584981,1.0
1.854799999999861,1291.7333658420828,130751.6258542409,1.0
1.855199999999861,1291.5640850488746,130734.48938025822,1.0
1.855599999999861,1291.3948978173432,130717.36237916102,1.0
1.8559999999998609,1291.2258041006603,130700.24484620665,1.0
1.8563999999998608,1291.0568038520703,130683.13677665907,1.0
1.8567999999998608,1290.8878970248143,130666.03816578219,1.0
1.8571999999998607,1290.7190835721806,130648.94900884425,1.0
1.8575999999998607,1290.5503634474528,130631.8693011135,1.0
1.8579999999998607,1290.3817366039286,130614.79903785944,1.0
1.8583999999998606,1290.2132029949355,130597.73821435466,1.0
1.8587999999998606,1290.0447625738236,130580.68682587399,1.0
1.8591999999998605,1289.8764152939546,130563.64486769338,1.0
1.8595999999998605,1289.7081611087103,130546.61233509103,1.0
1.8599999999998604,1289.539999971496,130529.58922334727,1.0
1.8603999999998604,1289.3719318357332,130512.57552774415,1.0
1.8607999999998603,1289.203956654863,130495.57124356582,1.0
1.8611999999998603,1289.0360743823442,130478.57636609803,1.0
1.8615999999998603,1288.868284971656,130461.59089062881,1.0
1.8619999999998602,1288.700588376297,130444.61481244795,1.0
1.8623999999998602,1288.5329845497822,130427.64812684704,1.0
1.8627999999998601,1288.3654734456436,130410.6908291194,1.0
1.86319999999986,1288.1980550174362,130393.74291456057,1.0
1.86359999999986,1288.0307292187317,130376.80437846795,1.0
1.86399999999986,1287.8634960031177,130359.87521614041,1.0
1.86439999999986,1287.696355324205,130342.95542287925,1.0
1.86479999999986,1287.5293071356214,130326.04499398757,1.0
1.8651999999998599,1287.3623513910122,130309.14392477,1.0
1.8655999999998598,1287.1954880440442,130292.25221053358,1.0
1.8659999999998598,1287.0287170484003,130275.36984658691,1.0
1.8663999999998597,1286.8620383577838,130258.49682824062,1.0
1.8667999999998597,1286.695451925917,130241.63315080733,1.0
1.8671999999998596,1286.5289577065396,130224.77880960134,1.0
1.8675999999998596,1286.362555653411,130207.93379993907,1.0
1.8679999999998596,1286.196245720309,130191.09811713874,1.0
1.8683999999998595,1286.030027861029,130174.27175652033,1.0
1.8687999999998595,1285.8639020293886,130157.45471340608,1.0
1.8691999999998594,1285.6978681792195,130140.6469831197,1.0
1.8695999999998594,1285.531926264376,130123.84856098717,1.0
1.8699999999998593,1285.36607623873,130107.05944233626,1.0
1.8703999999998593,1285.2003180561726,130090.27962249669,1.0
1.8707999999998592,1285.0346516706095,130073.5090967996,1.0
1.8711999999998592,1284.8690770359697,130056.74786057863,1.0
1.8715999999998592,1284.7035941061995,130039.99590916901,1.0
